Geo_FIPS;TotalPop90;TotalHH90;White90;Black90;Native90;Asian90;Other90;HUnits90;RHUnits90;R0k90;R0k0p90;R0k1p90;R0k2p90;R0k3p90;R0k4p90;R0kNCp90;R10k90;R10k0p90;R10k1p90;R10k2p90;R10k3p90;R10k4p90;R10kNCp90;R20k90;R20k0p90;R20k1p90;R20k2p90;R20k3p90;R20k4p90;R20kNCp90;R35kp90;R35k0p90;R35k1p90;R35k2p90;R35k3p90;R35k4p90;R35kNCp90;R50kp90;R50k0p90;R50k1p90;R50k2p90;R50k3p90;R50k4p90;R50kNCp90;OHUnits90;O0k90;O0k0p90;O0k1p90;O0k2p90;O0k3p90;O0k4p90;O0kNCp90;O10k90;O10k0p90;O10k1p90;O10k2p90;O10k3p90;O10k4p90;O10kNCp90;O20k90;O20k0p90;O20k1p90;O20k2p90;O20k3p90;O20k4p90;O20kNCp90;O35kp90;O35k0p90;O35k1p90;O35k2p90;O35k3p90;O35k4p90;O35kNCp90;O50kp90;O50k0p90;O50k1p90;O50k2p90;O50k3p90;O50k4p90;O50kNCp90
53033005200;4576;2264;3684;98;50;688;56;2367;1688;489;10;9;19;50;347;54;479;29;9;63;13;355;10;380;92;77;77;49;85;0;178;56;84;13;8;10;7;162;121;20;0;7;0;14;362;49;23;8;0;0;7;11;28;15;7;0;0;6;0;86;38;0;10;5;33;0;84;57;0;9;8;10;0;115;89;20;6;0;0;0
53033005301;5507;2074;4285;145;34;992;51;2171;2002;927;0;0;17;14;775;121;533;36;120;11;94;272;0;343;136;164;9;8;18;8;125;95;8;0;7;15;0;74;65;0;9;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;9;0;0;0;0;24;24;0;0;0;0;0
53033005302;4668;445;3068;227;47;1205;121;463;447;217;0;0;12;18;157;30;112;17;10;28;21;36;0;63;38;7;7;0;11;0;39;12;10;6;0;11;0;16;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53033005400;3824;1997;3449;70;42;232;31;2091;1233;160;0;0;0;0;149;11;263;11;17;33;65;137;0;466;149;148;119;19;31;0;182;101;57;11;0;0;13;162;126;28;0;0;0;8;506;51;0;10;0;8;33;0;87;26;23;0;6;32;0;85;22;0;0;21;42;0;54;41;6;0;0;7;0;229;141;52;36;0;0;0
53033005499;105;0;82;8;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53033005500;368;122;303;32;0;33;0;110;108;0;0;0;0;0;0;0;18;6;0;0;4;8;0;50;4;5;4;9;0;28;34;6;0;10;0;0;18;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53033005600;6163;2629;5869;42;30;191;31;2719;219;4;0;0;0;0;4;0;49;0;0;0;0;43;6;50;0;8;0;0;38;4;55;8;8;0;8;21;10;61;44;0;8;9;0;0;2285;48;0;0;0;0;34;14;130;63;31;8;0;28;0;326;156;32;19;44;75;0;341;189;58;25;13;56;0;1440;980;173;107;43;137;0
53033005700;5373;2523;4805;41;55;396;76;2583;782;114;6;0;0;28;80;0;192;10;9;37;25;105;6;281;39;89;51;19;77;6;74;62;0;6;0;0;6;121;96;18;0;0;0;7;1589;73;8;0;0;14;51;0;166;56;6;52;14;38;0;241;128;9;26;33;45;0;429;238;46;77;32;36;0;680;491;122;60;0;7;0
53033005799;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53033005801;4142;2360;3728;121;28;256;9;2484;1506;130;0;0;0;0;109;21;249;9;27;35;36;142;0;617;175;179;109;76;58;20;310;246;41;23;0;0;0;200;181;19;0;0;0;0;599;62;0;0;18;25;19;0;77;63;0;0;6;8;0;101;40;8;19;9;25;0;111;59;7;27;11;7;0;248;148;70;30;0;0;0
53033005802;4002;2255;3524;124;65;245;44;2361;1411;123;0;0;0;0;115;8;243;0;10;49;65;119;0;649;141;234;142;25;107;0;231;134;47;20;6;8;16;165;152;13;0;0;0;0;556;25;0;0;7;0;18;0;79;41;13;0;11;14;0;103;75;6;11;0;11;0;108;61;0;35;12;0;0;241;158;25;36;15;7;0
53033005899;350;0;272;39;13;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53033005900;6010;2374;5581;87;42;239;61;2517;1029;78;5;0;0;0;68;5;221;20;21;48;31;97;4;331;124;80;32;66;23;6;223;159;47;17;0;0;0;176;142;32;0;0;0;2;1154;108;4;7;14;15;52;16;82;59;13;0;0;10;0;151;109;8;0;6;28;0;259;180;37;18;15;9;0;554;461;54;29;10;0;0
53033005999;14;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
